player_ip,timestamp,yolo_obj,confidence,position_of_object
172.19.113.65,1742105844260,enemy,0.9269974,"[312, 241, 20, 40]"
172.19.113.65,1742105844277,enemy,0.9594428,"[312, 240, 20, 41]"
172.19.113.65,1742105844293,enemy,0.7361178,"[307, 239, 24, 45]"
172.19.113.65,1742105844293,enemy,0.97173023,"[309, 241, 24, 42]"
172.19.113.65,1742105844293,enemy,0.51377773,"[366, 278, 42, 22]"
172.19.113.65,1742105844309,enemy,0.69767153,"[308, 241, 21, 43]"
172.19.113.65,1742105844309,enemy,0.97397596,"[310, 242, 21, 43]"
172.19.113.65,1742105844326,enemy,0.97139406,"[307, 241, 22, 46]"
172.19.113.65,1742105844326,enemy,0.5718297,"[360, 280, 42, 22]"
172.19.113.65,1742105844343,enemy,0.9369293,"[308, 240, 21, 50]"
172.19.113.65,1742105844343,enemy,0.9605487,"[309, 242, 21, 50]"
172.19.113.65,1742105844343,enemy,0.6794022,"[360, 280, 42, 22]"
172.19.113.65,1742105844359,enemy,0.8363173,"[303, 240, 29, 53]"
172.19.113.65,1742105844359,enemy,0.96431756,"[309, 240, 24, 52]"
172.19.113.65,1742105844359,enemy,0.6807128,"[359, 281, 42, 22]"
172.19.113.65,1742105844377,enemy,0.97789115,"[309, 240, 26, 53]"
172.19.113.65,1742105844377,enemy,0.88381106,"[357, 281, 44, 24]"
172.19.113.65,1742105844394,enemy,0.9802053,"[310, 241, 26, 52]"
172.19.113.65,1742105844394,enemy,0.8900363,"[357, 281, 43, 24]"
172.19.113.65,1742105844411,enemy,0.99071795,"[315, 240, 24, 55]"
172.19.113.65,1742105844411,enemy,0.89525706,"[360, 281, 43, 25]"
172.19.113.65,1742105844428,enemy,0.99074316,"[317, 241, 24, 56]"
172.19.113.65,1742105844428,enemy,0.82539934,"[361, 282, 42, 25]"
172.19.113.65,1742105844428,enemy,0.8130451,"[359, 283, 49, 24]"
172.19.113.65,1742105844444,enemy,0.978026,"[320, 245, 26, 52]"
172.19.113.65,1742105844444,enemy,0.9170069,"[363, 284, 46, 26]"
172.19.113.65,1742105844461,enemy,0.89533013,"[328, 244, 28, 53]"
172.19.113.65,1742105844461,enemy,0.7682835,"[334, 241, 21, 55]"
172.19.113.65,1742105844461,enemy,0.8439483,"[367, 285, 49, 27]"
172.19.113.65,1742105844461,enemy,0.7026002,"[371, 287, 48, 24]"
172.19.113.65,1742105844477,enemy,0.84719646,"[325, 247, 31, 49]"
172.19.113.65,1742105844477,enemy,0.5286216,"[323, 246, 33, 54]"
172.19.113.65,1742105844477,enemy,0.9202949,"[368, 287, 44, 26]"
172.19.113.65,1742105844494,enemy,0.79405665,"[326, 246, 32, 50]"
172.19.113.65,1742105844494,enemy,0.5151438,"[332, 242, 26, 53]"
172.19.113.65,1742105844494,enemy,0.82932824,"[364, 286, 48, 26]"
172.19.113.65,1742105844510,enemy,0.84330314,"[338, 248, 30, 56]"
172.19.113.65,1742105844510,enemy,0.6811156,"[338, 251, 28, 51]"
172.19.113.65,1742105844510,enemy,0.74110544,"[371, 291, 49, 26]"
172.19.113.65,1742105844527,enemy,0.8815252,"[341, 247, 26, 55]"
